,created_time,status_type,type,video_length,message,link,permalink_url,comments_count,shares_count,reactions_count,like_count,love_count,wow_count,haha_count,sad_count,angry_count
422,2019-05-25 23:11:00,added_photos,photo,,"- Acompanhando o casamento do meu 03, Eduardo Bolsonaro, junto de minha esposa, Michelle Bolsonaro. Desejamos toda felicidade ao casal e que Deus abençoe essa união! Bom final de sábado a todos!",https://www.facebook.com/jairmessias.bolsonaro/photos/a.250567771758883/1467409380074710/?type=3,https://www.facebook.com/211857482296579/posts/1467409400074708/,31460.0,16669.0,469796.0,408572.0,57933.0,2694.0,456.0,29.0,112.0
423,2019-05-24 22:08:03,added_video,video,04:51,"- Estivemos hoje em Petrolina, Pernambuco, para participar da entrega de casas populares na região.  - Uma enorme satisfação fazer parte deste momento tão marcante na vida de tantas famílias, que é o de receber a casa própria.  - Obrigado povo pernambucano pela calorosa recepção!",https://www.facebook.com/jairmessias.bolsonaro/videos/387975538470276/,https://www.facebook.com/211857482296579/posts/1466389573510024/,2913.0,9231.0,55078.0,48507.0,6118.0,343.0,78.0,3.0,29.0
424,2019-05-24 21:00:35,mobile_status_update,status,,"- Peço desculpas por frustrar a tentativa de parte da mídia de criar um virtual atrito entre mim e Paulo Guedes. Nosso casamento segue mais forte que nunca kkkkk.  - No mais, caso não aprovemos a Previdência, creio que deva trocar o Min. da Economia pelo da Alquimia, só assim resolve.",,https://www.facebook.com/211857482296579/posts/1466315963517385/,7976.0,13931.0,153356.0,108416.0,11175.0,219.0,33433.0,48.0,65.0
425,2019-05-24 16:33:55,mobile_status_update,status,,"EXCELENTE NOTÍCIA:  - Decreto que autoriza a nomeação de mais 547 policiais federais além dos 500 já previstos no concurso em andamento foi publicado.  - Brevemente teremos mais de 1000 novos policiais federais a serviço de nosso país e nossa sociedade, combatendo a corrupção, tráfico e crime organizado.",,https://www.facebook.com/211857482296579/posts/1466107783538203/,2817.0,6662.0,78540.0,71132.0,6795.0,515.0,75.0,7.0,16.0
426,2019-05-23 22:00:24,added_video,video,38:44:00,LIVE DE 23 DE MAIO DE 2019,https://www.facebook.com/jairmessias.bolsonaro/videos/289680521744872/,https://www.facebook.com/jairmessias.bolsonaro/videos/289680521744872/,57759.0,25941.0,106304.0,81519.0,23093.0,362.0,716.0,118.0,496.0
427,2019-05-22 00:39:51,mobile_status_update,status,,"- Quanto aos atos do dia 26, vejo como uma manifestação espontânea da população, que de forma inédita vem sendo a voz principal para as decisões políticas que o Brasil deve tomar.  - Acredito na harmonia, na sensibilidade e no patriotismo dos integrantes dos três Poderes da República para o momento que atravessa nossa Nação.  - Juntos, ao lado do povo e de Deus alcançaremos nossos objetivos! 🇧🇷",,https://www.facebook.com/211857482296579/posts/1463655967116718/,11325.0,11986.0,141017.0,123884.0,15348.0,392.0,1304.0,17.0,72.0
428,2019-05-21 16:37:37,mobile_status_update,status,,- O Ministro da Saúde encontrou o estoque de remédios para doenças raras e transplantados zerados no início de janeiro. Gasto anual com esses medicamentos é próximo de R$ 15 bilhões.  - Licitação para recomposição do estoque e distribuição aos pacientes deve ser normalizada até junho. 👍🏻,,https://www.facebook.com/211857482296579/posts/1463323567149958/,3188.0,10852.0,82045.0,74704.0,5642.0,1356.0,67.0,200.0,76.0
429,2019-05-21 11:23:49,added_photos,photo,,"- ""E conhecereis a verdade, e a verdade vos libertará"" João 8:32.  - Carrego esta mensagem sempre à frente de nossa missão.  - Bom dia a todos!",https://www.facebook.com/jairmessias.bolsonaro/photos/a.250567771758883/1463053777176937/?type=3,https://www.facebook.com/211857482296579/posts/1463053803843601/,14104.0,9902.0,155233.0,136584.0,17105.0,377.0,1080.0,13.0,74.0
430,2019-05-19 13:12:07,added_video,video,05:47,"- Pastor francês expõe sua visão sobre o futuro do Brasil.  - Não existe teoria da conspiração, existe uma mudança de paradigma na política.  - Quem deve ditar os rumos do país é o povo! Assim são as democracias.",https://www.facebook.com/jairmessias.bolsonaro/videos/2145556385541384/,https://www.facebook.com/211857482296579/posts/1461255930690055/,6376.0,18538.0,50691.0,43518.0,5852.0,379.0,876.0,18.0,48.0
431,2019-05-19 01:48:59,added_video,video,00:50,- Nessa data nos deixa um Herói da Segunda Guerra Mundial.  - À familia do Tenente-coronel Bini nossos mais profundos sentimentos.  - Que sua alma descanse e que a Paz de Deus habite no coração de todos nós!,https://www.facebook.com/jairmessias.bolsonaro/videos/404340876817981/,https://www.facebook.com/211857482296579/posts/1460907057391609/,2028.0,2799.0,40492.0,34140.0,2009.0,68.0,40.0,4221.0,14.0
432,2019-05-18 15:20:53,added_video,video,00:56,"- Visita de alunos no Alvorada, residência oficial do Presidente da República.  - É pelo futuro dessas crianças o nosso maior empenho.  Agradeço a Deus pela minha vida e pela MISSÃO de conduzir os destinos do Brasil. 🇧🇷🇧🇷🇧🇷",https://www.facebook.com/jairmessias.bolsonaro/videos/2143666929014304/,https://www.facebook.com/211857482296579/posts/1460435210772127/,8498.0,30600.0,99113.0,81423.0,16395.0,335.0,909.0,8.0,43.0
433,2019-05-18 01:36:03,mobile_status_update,status,,"- Em 2018 a Petrobrás assinou contrato de publicidade de R$ 782 milhões com a McLaren, válido por 5 anos. No momento, a empresa, por decisão do meu Governo, busca uma maneira de rescindir o contrato. Boa noite a todos!",,https://www.facebook.com/211857482296579/posts/1459843137498001/,10428.0,14120.0,132457.0,119150.0,10099.0,2457.0,487.0,85.0,179.0
434,2019-05-17 15:26:10,added_video,video,01:35,"- André Mendonça, um dos nossos 22 ministros, defende, no Supremo Tribunal Federal, os interesses de todos nós contribuintes.  - Por 8x2 votos fomos vitoriosos no STF e deixamos de pagar R$ 2,5 bilhões para os poderosos.  - Continuamos desagradando o Sistema.  BRASIL ACIMA DE TUDO, DEUS ACIMA DE TODOS! 🇧🇷",https://www.facebook.com/jairmessias.bolsonaro/videos/437003046848145/,https://www.facebook.com/211857482296579/posts/1459328500882798/,2281.0,8220.0,40364.0,35962.0,3874.0,404.0,100.0,7.0,17.0
435,2019-05-16 22:00:44,added_video,video,30:08:00,"LIVE DA SEMANA (16/05/2019) - Diretamente do Texas, Estados Unidos.",https://www.facebook.com/jairmessias.bolsonaro/videos/291624458391519/,https://www.facebook.com/jairmessias.bolsonaro/videos/291624458391519/,57893.0,19218.0,101020.0,75521.0,23457.0,337.0,877.0,137.0,691.0
436,2019-05-15 10:20:56,added_video,video,,‪- Ministro da Educação mostra hipocrisia política no debate sobre cortes.   . Link no youtube: youtu.be/4kceWe71CCM‬,https://www.facebook.com/jairmessias.bolsonaro/videos/326958267984021/,https://www.facebook.com/211857482296579/posts/1456545947827720/,3826.0,21143.0,42220.0,38529.0,2912.0,162.0,440.0,30.0,147.0
437,2019-05-14 01:54:48,added_photos,photo,,"‪- Ao invés de financiar atos e “estudos científicos” dos mesmos de sempre e ONGs, vamos destinar recursos para buscar solucionar os reais problemas do Brasil. Isso é atuar em prol do meio ambiente e não a favor de uma manipuladora, sombria e esperta agenda.",https://www.facebook.com/jairmessias.bolsonaro/photos/a.250567771758883/1455350127947302/?type=3,https://www.facebook.com/211857482296579/posts/1455350334613948/,1377.0,3324.0,32175.0,29649.0,2176.0,184.0,73.0,12.0,81.0
